Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
L'Enfant Jésus en gloire entouré de quatre saints (grisaille),http://www.wikidata.org/entity/Q29644894,L'Enfant Jésus en gloire entouré de quatre saints (grisaille),Room 854,,Department of Paintings of the Louvre,,Antoon Sallaert,paper,,,public domain,,1640,
"Embarquement de bestiaux sur le ""Passager"" dans le port de Honfleur",http://www.wikidata.org/entity/Q29844744,"Embarquement de bestiaux sur le ""Passager"" dans le port de Honfleur",Louvre storage (depot),,Department of Paintings of the Louvre,,Auguste-Xavier Leprince,oil paint,,,public domain,,1823,http://commons.wikimedia.org/wiki/Special:FilePath/Auguste-Xavier%20Leprince%20-%20Embarquement%20de%20bestiaux%20sur%20le%20%E2%80%9APassager%E2%80%98%20dans%20le%20port%20de%20Honfleur%20%281823%29.jpg
Réunion familiale près d’un portique,http://www.wikidata.org/entity/Q29656980,Réunion familiale près d’un portique,Room 859,,Department of Paintings of the Louvre,,Balthasar Beschey,oil paint,,,public domain,,1731,
Diane chasseresse,http://www.wikidata.org/entity/Q29651202,Diane chasseresse,Louvre storage (depot),,Department of Paintings of the Louvre,Paul Jamot,Bartolomeo Passarotti,oil paint,,,public domain,,1575,
Le Jugement de saint Georges,http://www.wikidata.org/entity/Q18929056,The Judgement of Saint George,Room 730,,Department of Paintings of the Louvre,,Bernat Martorell,oil paint,,http://www.louvre.fr/jp/oeuvre-notices/%E3%80%8A%E8%81%96%E3%82%B2%E3%82%AA%E3%83%AB%E3%82%AE%E3%82%A6%E3%82%B9%E3%81%AE%E5%AF%A9%E5%88%A4%E3%80%8B,public domain,,1435,http://commons.wikimedia.org/wiki/Special:FilePath/Bernat%20martorell%2C%20quattro%20scene%20della%20vita%20di%20san%20giorgio%2C%201435%20ca.%2001.JPG
Hunters resting,http://www.wikidata.org/entity/Q29656709,Hunters resting,Room 859,,Department of Paintings of the Louvre,,Carel van Falens,oil paint,,,public domain,,1726,
Hunters resting,http://www.wikidata.org/entity/Q29656707,Hunters resting,Room 859,,Department of Paintings of the Louvre,,Carel van Falens,oil paint,,,public domain,,1726,
Chasse à l'ours,http://www.wikidata.org/entity/Q29654657,Chasse à l'ours,Louvre storage (depot),,Department of Paintings of the Louvre,,Carl Borromäus Andreas Ruthart,oil paint,,,public domain,,1700,
"Chasse au daim pour la Saint-Hubert, en 1818, dans les bois de Meudon. Le passage de l'eau dans l'étang de Ville-d'Avray, en présence du comte d'Artois (futur Charles X) et du duc de Berry",http://www.wikidata.org/entity/Q29837753,"Chasse au daim pour la Saint-Hubert, en 1818, dans les bois de Meudon. Le passage de l'eau dans l'étang de Ville-d'Avray, en présence du comte d'Artois (futur Charles X) et du duc de Berry",Louvre storage (depot),,Department of Paintings of the Louvre,,Carle Vernet,oil paint,,,public domain,,1826,
Méléagre offrant à Atalante la hure du sanglier destructeur du pays de Calydon,http://www.wikidata.org/entity/Q29649312,Méléagre offrant à Atalante la hure du sanglier destructeur du pays de Calydon,Louvre storage (depot),,Department of Paintings of the Louvre,Louis XIV of France,Caspar Netscher,oil paint,,,public domain,,1684,
La Chasse de Méléagre et d'Atalante,http://www.wikidata.org/entity/Q29847869,La Chasse de Méléagre et d'Atalante,Room 914,,Department of Paintings of the Louvre,Everhard Jabach,Charles Le Brun,oil paint,,,public domain,,1662,
La Mort de Méléagre,http://www.wikidata.org/entity/Q29847912,La Mort de Méléagre,Room 914,,Department of Paintings of the Louvre,Everhard Jabach,Charles Le Brun,oil paint,,,public domain,,1662,
"Halte de grenadiers à cheval de la Maison du Roi. Assis au centre, M. de Creil, leur commandant; au fond, la tranchée de Philippsbourg (juin 1734)",http://www.wikidata.org/entity/Q29842365,"Halte de grenadiers à cheval de la Maison du Roi. Assis au centre, M. de Creil, leur commandant; au fond, la tranchée de Philippsbourg (juin 1734)",Louvre storage (depot),,Department of Paintings of the Louvre,,Charles Parrocel,oil paint,,,public domain,,1737,
"Marie Leszczinska, reine de France (1703-1768)",http://www.wikidata.org/entity/Q16916076,Marie Leszczyńska,Mars Lounge,Rococo,Department of Paintings of the Louvre,Louis XV of France,Charles-André van Loo,oil paint,,,public domain,,1747,http://commons.wikimedia.org/wiki/Special:FilePath/Carle%20Van%20Loo%20-%20Marie%20Leszczinska%2C%20reine%20de%20France%20%281703-1768%29%20-%20Google%20Art%20Project.jpg
Halte de chasse,http://www.wikidata.org/entity/Q29837814,Halt During the Hunt (C.-A. van Loo),Room 919,,Department of Paintings of the Louvre,,Charles-André van Loo,oil paint,,https://www.wga.hu/html/l/loo/carle/halthunt.html,public domain,,1737,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Andr%C3%A9%20van%20Loo%20-%20Halt%20During%20the%20Hunt%20-%20WGA13429.jpg
"Don Quichotte attaché à une fenêtre par la malice de Maritorne (Cervantes, Don Quichotte).",http://www.wikidata.org/entity/Q29862621,"Don Quichotte attaché à une fenêtre par la malice de Maritorne (Cervantes, Don Quichotte).",Louvre storage (depot),,Department of Paintings of the Louvre,,Charles-Antoine Coypel,oil paint,,,public domain,,1750,
David sacré roi par Samuel,http://www.wikidata.org/entity/Q29855757,David Anointed King by the Prophet Samuel,Room 909,,Department of Paintings of the Louvre,Louis XIV of France,Claude Lorrain,oil paint,,,public domain,,1637,http://commons.wikimedia.org/wiki/Special:FilePath/David%20sacr%C3%A9%20roi%20par%20le%20proph%C3%A8te%20Samuel%20-%20Claude%20Le%20Lorrain%20-%20Mus%C3%A9e%20du%20Louvre%20INV%204717.jpg
"Port de mer, effet de brume (L'embarquement d'Ulysse ?)",http://www.wikidata.org/entity/Q19820185,"Sea Harbor, Fog Effect",Room 909,,Department of Paintings of the Louvre,Louis XIV of France,Claude Lorrain,oil paint,,https://www.wga.hu/html/c/claude/2/05ulysse.html,public domain,,1646,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20lorrain%2C%20porto%20di%20mare%2C%20effetto%20di%20nebbia%2C%201646.JPG
Troupeau passant le gué,http://www.wikidata.org/entity/Q29839044,The Ford,Room 945,,Department of Paintings of the Louvre,Étienne Moreau-Nélaton,Constant Troyon,oil paint,,https://www.wga.hu/html/t/troyon/ford.html,public domain,,1852,http://commons.wikimedia.org/wiki/Special:FilePath/Constant%20Troyon%20-%20The%20Ford%20-%20WGA23096.jpg
Le matin,http://www.wikidata.org/entity/Q29839050,Le matin,Louvre storage (depot),,Department of Paintings of the Louvre,Georges Thomy-Thierry,Constant Troyon,oil paint,,,public domain,,1850,
Le passage du gué,http://www.wikidata.org/entity/Q29839022,Le passage du gué,Louvre storage (depot),,Department of Paintings of the Louvre,Georges Thomy-Thierry,Constant Troyon,oil paint,,,public domain,,1854,
Vaches à l'abreuvoir,http://www.wikidata.org/entity/Q29839095,Vaches à l'abreuvoir,Louvre storage (depot),,Department of Paintings of the Louvre,Georges Thomy-Thierry,Constant Troyon,oil paint,,,public domain,,1850,
Vénus pleurant Adonis transformé en anémone,http://www.wikidata.org/entity/Q29656050,Vénus pleurant Adonis transformé en anémone,Room 838,,Department of Paintings of the Louvre,Alexandre Joseph Paillet,Constantijn Netscher,oil paint,,,public domain,,1700,
Paysage avec voyageurs se reposant au bord d'un chemin,http://www.wikidata.org/entity/Q29656623,Landscape with travelers resting on the side of a road,Louvre storage (depot),,Department of Paintings of the Louvre,,Cornelis Huysmans,oil paint,,,public domain,,1700,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20Huysmans%20-%20Landscape%20with%20travelers%20resting%20on%20the%20side%20of%20a%20road.jpg
Atelier de peintre avec broyeur de couleurs et modèle en train de poser,http://www.wikidata.org/entity/Q29655224,Painters in a studio,Room 854,,Department of Paintings of the Louvre,,David Ryckaert III,oil paint,,,public domain,,1638,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Rijckaert%20%28III%29%20-%20Painters%20in%20a%20studio.jpg
Intérieur d'estaminet,http://www.wikidata.org/entity/Q29655030,Intérieur d'estaminet,Room 857,,Department of Paintings of the Louvre,Louis La Caze,David Teniers the Younger,copper,,,public domain,,1650,
Intérieur de cabaret. La partie de cartes,http://www.wikidata.org/entity/Q28765668,Interior of a Tavern: Card Game,Room 854,,Department of Paintings of the Louvre,,David Teniers the Younger,oil paint,,,public domain,,1645,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Teniers%20the%20Younger%20-%20The%20Card%20Players%201645%20Louvre.jpg
Merry company in a garden,http://www.wikidata.org/entity/Q29656302,Merry company in a garden,Louvre storage (depot),,Department of Paintings of the Louvre,,Dirck Hals,oil paint,,,public domain,,1620,
"Paysage rustique. Arbres morts, chemin et mare",http://www.wikidata.org/entity/Q29655452,The Farm,Room 836,,Department of Paintings of the Louvre,,Dirck Wijntrack,oil paint,,,public domain,,1662,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Ferme%20-%20Dirck%20Wijntrack%20-%20Mus%C3%A9e%20du%20Louvre.jpg
La M�lancolie,http://www.wikidata.org/entity/Q12122363,Melancholia,Room 717,,Department of Paintings of the Louvre,Louis XIV of France,Domenico Fetti,oil paint,,http://www.louvre.fr/oeuvre-notices/la-melancolie,public domain,,1700,http://commons.wikimedia.org/wiki/Special:FilePath/La%20M%C3%A9lancolie%20-%20Domenico%20Fetti%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%20281%20%3B%20MR%20216.jpg
"Chiens se battant, reprenant leur souffle",http://www.wikidata.org/entity/Q29644731,"Chiens se battant, reprenant leur souffle",Louvre storage (depot),,Department of Paintings of the Louvre,,Edwin Landseer,oil paint,,,public domain,,1818,
A country house,http://www.wikidata.org/entity/Q29655947,A country house,Louvre storage (depot),,Department of Paintings of the Louvre,,Egbert van der Poel,oil paint,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Une%20maison%20rustique%20-%20Egbert%20van%20der%20Poel%20-%20Mus%C3%A9e%20du%20Louvre.jpg
"Rocky landscape with carriage, horsemen and walkers",http://www.wikidata.org/entity/Q29656055,"Rocky landscape with carriage, horsemen and walkers",Louvre storage (depot),,Department of Paintings of the Louvre,,Eglon van der Neer,oil paint,,,public domain,,1680,
Hercule obtenant de Diane la biche aux cornes d'or,http://www.wikidata.org/entity/Q29855795,Hercule obtenant de Diane la biche aux cornes d'or,Room 347,,Department of Paintings of the Louvre,,Etienne-Barthélémy Garnier,oil paint,,,public domain,,1802,http://commons.wikimedia.org/wiki/Special:FilePath/Salle%20de%20Diane%20%28Louvre%29%20-%20Hercule%20obtenant%20de%20Diane%20la%20biche%20aux%20cornes%20d%27or.jpg
"Puget présentant sa statue de Milon de Crotone à Louis XIV, dans les jardins de Versailles",http://www.wikidata.org/entity/Q29857584,"Puget présentant sa statue de Milon de Crotone à Louis XIV, dans les jardins de Versailles",Louvre storage (depot),,Department of Paintings of the Louvre,,Eug�ne Devéria,oil paint,,,public domain,,1832,
"Naissance d'Henri IV(château de pau, 13 décembre 1553).",http://www.wikidata.org/entity/Q29857577,"Naissance d'Henri IV(château de pau, 13 décembre 1553).",Room 701,,Department of Paintings of the Louvre,,Eug�ne Devéria,oil paint,,,public domain,,1827,http://commons.wikimedia.org/wiki/Special:FilePath/Heinrich%20Vierte%20Frankreich%20Geburt.jpg
Réunion d'amis,http://www.wikidata.org/entity/Q29845037,A Gathering of Friends,Room 829,,Department of Paintings of the Louvre,,Eustache Le Sueur,oil paint,,https://www.wga.hu/html/l/le_sueur/friends.html,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Eustache%20Le%20Sueur%2C%20A%20Gathering%20of%20Friends%2C%20c.%201640%E2%80%931644%2C%20Louvre%20INV%208063%20%28MR%202720%29.JPG
"Saint Gervais et saint Protais, amenés devant Astasius, refusent de sacrifier à Jupiter",http://www.wikidata.org/entity/Q29846822,"Saint Gervais et saint Protais, amenés devant Astasius, refusent de sacrifier à Jupiter",Room 913,,Department of Paintings of the Louvre,,Eustache Le Sueur,oil paint,,https://www.wga.hu/html/l/le_sueur/gervase.html,public domain,,1652,http://commons.wikimedia.org/wiki/Special:FilePath/Eustache%20Le%20Sueur%20-%20St%20Gervase%20and%20St%20Protase%20Brought%20before%20Anastasius%20-%20WGA12609.jpg
,http://www.wikidata.org/entity/Q29862708,,Null,,Department of Paintings of the Louvre,,Félix Cottrau,oil paint,,,public domain,,1843,
"Rubens peignant ""le Chapeau de paille"" dans un pavillon de son jardin",http://www.wikidata.org/entity/Q29645290,Rubens peignant Le Chapeau de paille dans un pavillon de son jardin (detail),Louvre storage (depot),,Department of Paintings of the Louvre,,Ferdinand de Braekeleer the Elder,oil paint,,,public domain,,1826,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%20peignant%20le%20%22Chapeau%20de%20paille%22%20dans%20un%20pavillon%20de%20son%20jardin%20%28Louvre%2C%20RF%201991-16%29.jpg
Céphale et l'Aurore.,http://www.wikidata.org/entity/Q29864284,Céphale et l'Aurore.,Room 927,,Department of Paintings of the Louvre,,Fran�ois Boucher,oil paint,,,public domain,,1764,http://commons.wikimedia.org/wiki/Special:FilePath/Boucher%2C%20cefalo%20e%20aurora%2C%201764.JPG
Le Pont,http://www.wikidata.org/entity/Q29864338,The Bridge,Room 927,,Department of Paintings of the Louvre,,Fran�ois Boucher,oil paint,,https://www.photo.rmn.fr/archive/15-527446-2C6NU0A3NXVI6.html,public domain,,1751,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20Boucher%20007.jpg
Portrait d'un couple en Vénus et Pâris,http://www.wikidata.org/entity/Q29839178,Portrait d'un couple en Vénus et Pâris,Room 916,,Department of Paintings of the Louvre,,Fran�ois de Troy,oil paint,,,public domain,,1691,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20de%20Troy%20-%20Portrait%20d%27un%20couple%20en%20V%C3%A9nus%20et%20P%C3%A2ris%20-%20Louvre.png
"Jean-Baptiste Isabey et sa fille, enfant",http://www.wikidata.org/entity/Q29855752,"Jean-Baptist Isabey, Miniaturist, with his Daughter",Room 935,,Department of Paintings of the Louvre,,Fran�ois Gérard,oil paint,,https://www.wga.hu/html/g/gerard/1isabey.html,public domain,,1795,http://commons.wikimedia.org/wiki/Special:FilePath/Fran%C3%A7ois%20G%C3%A9rard%20portrait%20d%27Isabey%201796.jpg
Orphée devant Pluton et Proserpine,http://www.wikidata.org/entity/Q29842318,Orphée devant Pluton et Proserpine,Room 911,,Department of Paintings of the Louvre,,Fran�ois Perrier,oil paint,,,public domain,,1625,
Juillet 1830. La France défend la Charte,http://www.wikidata.org/entity/Q29842288,Juillet 1830. La France défend la Charte,Louvre storage (depot),,Department of Paintings of the Louvre,,Fran�ois-�douard Picot,oil paint,,,public domain,,1835,
"Têtes de moutons, brebis, béliers, chiens et chèvres",http://www.wikidata.org/entity/Q29651463,"Têtes de moutons, brebis, béliers, chiens et chèvres",Room 720,,Department of Paintings of the Louvre,,Francesco Londonio,oil paint,,,public domain,,1775,
La famille de Darius aux pieds d'Alexandre,http://www.wikidata.org/entity/Q27139341,La famille de Darius aux pieds d'Alexandre,Room 722,,Department of Paintings of the Louvre,,Francesco Trevisani,oil paint,,http://www.louvre.fr/oeuvre-notices/la-famille-de-darius-aux-pieds-d-alexandre,public domain,,1737,
Le Buisson ardent,http://www.wikidata.org/entity/Q18916055,The Burning Bush,Room 733,,Department of Paintings of the Louvre,,Francisco Collantes,oil paint,,https://www.wga.hu/html/c/collante/b_bush.html,public domain,,1625,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Collantes%20-%20The%20Burning%20Bush%20-%20WGA5150.jpg
Le Christ au jardin des oliviers,http://www.wikidata.org/entity/Q29654458,Le Christ au jardin des oliviers,Room 719,,Department of Paintings of the Louvre,,Francisco de Goya,oil paint,,,public domain,,1805,
Portrait de Luis María de Cistué y Martínez (1788-1842),http://www.wikidata.org/entity/Q18926011,Portrait of Luis María de Cistué Martínez,Room 719,,Department of Paintings of the Louvre,,Francisco de Goya,oil paint,,,public domain,,1791,http://commons.wikimedia.org/wiki/Special:FilePath/Goya%20-%20Portrait%20de%20Luis%20Mar%C3%ADa%20de%20Cistu%C3%A9%20y%20Mart%C3%ADnez%20%281788-1842%29%2C%201790%2C%20RF%202009%205.jpg
An amorous couple in the storage room with dogs and monkeys fighting in the foreground,http://www.wikidata.org/entity/Q29655186,An amorous couple in the storage room with dogs and monkeys fighting in the foreground,Null,,Department of Paintings of the Louvre,Louis La Caze,Frans Snyders,oil paint,,,public domain,,1625,
Portrait of an unknown man,http://www.wikidata.org/entity/Q29656091,Portrait of a Man with a Cane,Room 839,,Department of Paintings of the Louvre,Gerrit Braamcamp,Frans van Mieris the Elder,oil paint,,,public domain,,1675,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20van%20mieris%2C%20ritratto%20d%27uomo%20con%20bastone%2C%20un%20servitore%20moro%20e%20un%20cane%2C%201672-73%20ca.jpg
Le Départ pour la chasse,http://www.wikidata.org/entity/Q29656065,Le Départ pour la chasse,Room 845,,Department of Paintings of the Louvre,Alexandre Joseph Paillet,Frederik de Moucheron,oil paint,,,public domain,,1675,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20D%C3%A9part%20pour%20la%20chasse%20-%20Frederik%20de%20Moucheron%20-%20Mus%C3%A9e%20du%20Louvre.jpg
Le marché aux herbes d'Amsterdam,http://www.wikidata.org/entity/Q27346819,The Vegetable Market in Amsterdam,Room 838,,Department of Paintings of the Louvre,Marie Thérèse Rodet Geoffrin,Gabriel Metsu,oil paint,,http://www.louvre.fr/en/oeuvre-notices/greens-market-or-vegetable-market-amsterdam,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20March%C3%A9%20aux%20herbes%20d%27Amsterdam%20-%20Gabriel%20Metsu%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%201460.jpg
Soldier with a young woman and a servant in a distinguished interior,http://www.wikidata.org/entity/Q29656123,A Soldier Paying a Visit to a Young Lady,Louvre storage (depot),,Department of Paintings of the Louvre,,Gabriel Metsu,oil paint,,https://www.wga.hu/html/m/metsu/soldier.html,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Gabri%C3%ABl%20Metsu%20-%20Soldier%20Paying%20a%20Visit%20to%20a%20Young%20Lady%20-%20WGA15094.jpg
Portique de palais Renaissance avec messager devant un prince,http://www.wikidata.org/entity/Q29656235,Portique de palais Renaissance avec messager devant un prince,Room 851,,Department of Paintings of the Louvre,,Gerard Houckgeest,oil paint,,,public domain,,1650,
Chasse au cerf,http://www.wikidata.org/entity/Q49167757,Deer Hunt,Mus�e de la Vénerie (Senlis),,Department of Paintings of the Louvre,,Gerard Rijsbrack,oil paint,,,public domain,,1751,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20Rijsbrack%20-%20Deer%20Hunt.jpg
Chasse au loup,http://www.wikidata.org/entity/Q49167877,Wolf Hunt,Mus�e de la Vénerie (Senlis),,Department of Paintings of the Louvre,,Gerard Rijsbrack,oil paint,,,public domain,,1751,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20Rijsbrack%20-%20Wolf%20Hunt.jpg
Portrait d'une femme avec un chien,http://www.wikidata.org/entity/Q29656522,A Lady with a Dog,Louvre storage (depot),,Department of Paintings of the Louvre,,Gerard ter Borch,oil paint,,,public domain,,1650,
Maison vénitienne au bord de la lagune,http://www.wikidata.org/entity/Q29651525,Maison vénitienne au bord de la lagune,Louvre storage (depot),,Department of Paintings of the Louvre,,Giacomo Guardi,oil paint,,,public domain,,1800,
Pilate présentant le Christ à la foule des Juifs (Ecce Homo),http://www.wikidata.org/entity/Q18573908,Ecce Homo,Room 725,Rococo,Department of Paintings of the Louvre,,Giovanni Battista Tiepolo,oil paint,,,public domain,,1757,http://commons.wikimedia.org/wiki/Special:FilePath/Giovan%20battista%20tiepolo%2C%20ecce%20homo%2C%201757-60%20ca..JPG
La Cène,http://www.wikidata.org/entity/Q18573905,The Last Supper,Room 725,Rococo,Department of Paintings of the Louvre,,Giovanni Battista Tiepolo,oil paint,,https://www.wga.hu/html/t/tiepolo/gianbatt/3_1740s/08lastsu.html,public domain,,1747,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Battista%20Tiepolo%20-%20The%20Last%20Supper%20-%20WGA22295.jpg
Paysage avec saint Eustache,http://www.wikidata.org/entity/Q18573506,Landscape with St. Eustachius,Room 727,,Department of Paintings of the Louvre,,Giovanni Battista Viola,oil paint,,,public domain,,1620,http://commons.wikimedia.org/wiki/Special:FilePath/Paysage%20avec%20saint%20Eustache%20-%20Giovanni%20Battista%20Viola%20-%20Q18573506.jpg
La rencontre d'Abraham et de Melchisédech,http://www.wikidata.org/entity/Q18573342,The Meeting between Abraham and Melchizedek,Null,,Department of Paintings of the Louvre,,Giovanni Benedetto Castiglione,oil paint,,,public domain,,1650,
La Nativité et l'Adoration des Mages,http://www.wikidata.org/entity/Q18572517,Nativity and Adoration of the Magi,Salon Carré,,Department of Paintings of the Louvre,Giampietro Campana,Giovanni di Francesco,oil paint,,https://www.wga.hu/html/g/giovanni/frances/nativit3.html,public domain,,1455,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Di%20Francesco%20Del%20Cervelliera%20-%20Nativity%20and%20Adoration%20of%20the%20Magi%20-%20WGA09451.jpg
"Le Charlatan, ou L'Arracheur de dents",http://www.wikidata.org/entity/Q18681202,The Charlatan,Room 725,,Department of Paintings of the Louvre,Mathilde Bonaparte,Giovanni Domenico Tiepolo,oil paint,,https://www.wga.hu/html/t/tiepolo/giandome/1/puller.html,public domain,,1754,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Domenico%20Tiepolo%20-%20The%20Charlatan%20%28The%20Tooth-Puller%29%20-%20WGA22380.jpg
La Nativité dans un paysage,http://www.wikidata.org/entity/Q18630459,The Rest on the Flight into Egypt,Room 710,,Department of Paintings of the Louvre,,Giovanni Francesco Caroto,oil paint,,,public domain,,1550,http://commons.wikimedia.org/wiki/Special:FilePath/Giovan%20francesco%20caroto%2C%20riposo%20durante%20la%20fuga%20in%20egitto%2C%201520%20ca..JPG
Festin donné sous un portique d'ordre ionique,http://www.wikidata.org/entity/Q18573840,Feast Given under an Ionian Porch,Louvre storage (depot),,Department of Paintings of the Louvre,,Giovanni Paolo Panini,oil paint,,,public domain,,1718,http://commons.wikimedia.org/wiki/Special:FilePath/Pannini%20-%20Festin%20donn%C3%A9%20sous%20un%20portique%20d%27ordre%20ionique%2002.jpg
Festin donné sous un portique d'ordre ionique,http://www.wikidata.org/entity/Q29651212,Festin donné sous un portique d'ordre ionique,Louvre storage (depot),,Department of Paintings of the Louvre,,Giovanni Paolo Panini,oil paint,,,public domain,,1712,
Hunting for fleas,http://www.wikidata.org/entity/Q18685524,Searching for Fleas,Room 720,,Department of Paintings of the Louvre,,Giuseppe Maria Crespi,oil paint,,https://www.wga.hu/html/c/crespi/giuseppe/searcher.html,public domain,,1720,http://commons.wikimedia.org/wiki/Special:FilePath/Giuseppe%20Maria%20Crespi%20-%20Searcher%20for%20Fleas%20-%20WGA05771.jpg
Portrait of an unknown family in an interior,http://www.wikidata.org/entity/Q29656813,Portrait of an unknown family in an interior,Louvre storage (depot),,Department of Paintings of the Louvre,,Gonzales Coques,oil paint,,,public domain,,1650,
Paysage au pont et aux ruines,http://www.wikidata.org/entity/Q19926391,Landscape with Bridge and Ruins,Room 843,,Department of Paintings of the Louvre,,Govert Flinck,oil paint,,https://www.wga.hu/html/f/flinck/landscap.html,public domain,,1637,http://commons.wikimedia.org/wiki/Special:FilePath/Landschaft%20Govert%20Flinck.jpg
Un ange annonçant aux bergers la naissance du Christ,http://www.wikidata.org/entity/Q27513965,Angels Announcing Christ's Birth to the Shepherds,Room 844,,Department of Paintings of the Louvre,,Govert Flinck,oil paint,,http://www.louvre.fr/en/oeuvre-notices/angels-announcing-christ-s-birth-shepherds,public domain,,1639,http://commons.wikimedia.org/wiki/Special:FilePath/Govert%20Flinck%20-%20Angels%20Announcing%20the%20Birth%20of%20Christ%20to%20the%20Shepherds%20-%20WGA07928.jpg
La Nativité,http://www.wikidata.org/entity/Q18573007,Nativity,Room 709,,Department of Paintings of the Louvre,,Guido of Siena,tempera,France,https://www.wga.hu/html/g/guido/02poly.html,public domain,,1275,http://commons.wikimedia.org/wiki/Special:FilePath/Guido%20Da%20Siena%20-%20Nativity%20-%20WGA10980.jpg
Contrat de mariage en Italie,http://www.wikidata.org/entity/Q29654819,An Italian prenuptial agreement,Louvre storage (depot),,Department of Paintings of the Louvre,,Guillaume Bodinier,oil paint,,,public domain,,1831,http://commons.wikimedia.org/wiki/Special:FilePath/Guillaume%20Bodinier%20-%20Contrat%20de%20mariage%20en%20Italie.jpg
Intérieur d'une galerie de tableaux et d'objets d'art,http://www.wikidata.org/entity/Q15934785,Interior of a Collector's Gallery of Paintings and Objets d'Art,Room 802,,Department of Paintings of the Louvre,,Hans Jordaens III,oil paint,,,public domain,,1637,http://commons.wikimedia.org/wiki/Special:FilePath/Int%C3%A9rieur%20d%27une%20galerie%20de%20tableaux%20et%20d%27objets%20d%27art%20-%20Cornelis%20de%20Baellieur%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20MI%20699.jpg
"Saint Jean Baptiste présentant un orant, Jean du Cellier",http://www.wikidata.org/entity/Q29648823,The Donor with St John the Baptist,Room 818,Early Netherlandish painting,Department of Paintings of the Louvre,Eug�ne Secrétan,Hans Memling,oil paint,,https://www.wga.hu/html/m/memling/2middle2/13nocel2.html,public domain,,1490,http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Jean%20Baptiste%20pr%C3%A9sentant%20un%20orant%2C%20Jean%20du%20Cellier%20-%20Hans%20Memling%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%20886.jpg
Diane découvrant la grossesse de Callisto,http://www.wikidata.org/entity/Q29656814,Diane découvrant la grossesse de Callisto,Room 807,,Department of Paintings of the Louvre,Louis La Caze,Hendrick de Clerck,oil paint,,https://photo.rmn.fr/archive/95-014183-2C6NU0N1ZS7U.html,public domain,,1625,http://commons.wikimedia.org/wiki/Special:FilePath/De%20Clerck%20-%20DIANE%20DECOUVRANT%20LA%20GROSSESSE%20DE%20CALLISTO.jpg
La Prise de la ville de Hulst par les Hollandais en 1645,http://www.wikidata.org/entity/Q29656105,La Prise de la ville de Hulst par les Hollandais en 1645,Louvre storage (depot),,Department of Paintings of the Louvre,,Hendrick de Meijer,oil paint,,,public domain,,1650,
Intérieur d'estaminet,http://www.wikidata.org/entity/Q29655686,Intérieur d'estaminet,Room 852,,Department of Paintings of the Louvre,Louis La Caze,Hendrik Martenszoon Sorgh,oil paint,,,public domain,,1646,
Rendez-vous de chasse des Princes à la Croix de Noailles en forêt de Saint-Germain-en-Laye,http://www.wikidata.org/entity/Q29842480,Rendez-vous de chasse des Princes à la Croix de Noailles en forêt de Saint-Germain-en-Laye,Mus�e de la Vénerie (Senlis),,Department of Paintings of the Louvre,,Henri de Montpezat,oil paint,,,public domain,,1837,
La Forêt hantée,http://www.wikidata.org/entity/Q29644680,La Forêt hantée,Louvre storage (depot),,Department of Paintings of the Louvre,,Henry Singleton,oil paint,,,public domain,,1790,
Paysage au bac,http://www.wikidata.org/entity/Q29655655,Paysage au bac,Louvre storage (depot),,Department of Paintings of the Louvre,,Herman van Swanevelt,oil paint,,,public domain,,1637,
Le Jeu de la main chaude,http://www.wikidata.org/entity/Q29656618,The Game of Pat-a-Cake,Room 802,,Department of Paintings of the Louvre,Louis XIV of France,Hieronymus Janssens,oil paint,,,public domain,,1675,http://commons.wikimedia.org/wiki/Special:FilePath/Hieronymus%20Janssens%20-%20The%20game%20of%20%22Main%20chaude%22.jpg
